database,table,schema
PROD_ARC_SOURCE,QD_SUMMARY_BY_QUOTE,"id(INT),quote_id(INT),scope_id(INT),line_id(INT),line_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),scope_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),planned_hours(decimal(20,2)),quantity(decimal(20,2)),ats_cost(decimal(20,2)),ats_sell(decimal(20,2)),ski_cost(decimal(20,2)),ski_sell(decimal(20,2)),freight_cost(decimal(20,2)),freight_sell(decimal(20,2)),duties_tariff(decimal(20,2)),total_cost(decimal(20,2)),total_sell(decimal(20,2)),created_at(DATETIME2),updated_at(DATETIME2),iko_cost(decimal(20,2)),iko_sell(decimal(20,2))"
PROD_ARC_SOURCE,QD_SUMMARY_BY_SCOPE,"id(INT),quote_id(INT),scope_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),ats_internal_gpm_amount(decimal(20,2)),ats_internal_gpm_percentage(decimal(20,2)),ski_internal_gpm_amount(decimal(20,2)),ski_internal_gpm_percentage(decimal(20,2)),ski_gpm_amount(decimal(20,2)),ski_gpm_percentage(decimal(20,2)),group_gpm_amount(decimal(20,2)),group_gpm_percentage(decimal(20,2)),created_at(DATETIME2),updated_at(DATETIME2),iko_internal_gpm_amount(decimal(20,2)),iko_internal_gpm_percentage(decimal(20,2))"
PROD_ARC_SOURCE,QUOTE_APPROVALS,"id(INT),quote_id(INT),division_id(INT),approval_status(INT),approval_notes(TEXT),rejected_reason(TEXT),approvedBy(INT),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,QUOTE_DEVELOP,"id(INT),quote_id(INT),customer_id(INT),description(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),quoted_by_date(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),probability(INT),validity(INT),quote_development_status(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_at(DATETIME2),updated_at(DATETIME2),created_by(INT),quote_value(decimal(20,2)),quote_submitted_date(DATETIME),ats_approval_mail_sent(INT),ski_approval_mail_sent(INT),ats_approval(INT),ski_approval(INT),final_approval(INT),summary(NTEXT),ats_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),ski_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),quote_gpm_percentage(decimal(20,2)),approved_ats_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),approved_ski_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS"")"
PROD_ARC_SOURCE,QUOTE_LINES,"id(INT),quote_id(INT),rfq_line_id(INT),quote_line_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),location_quote_line_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),description(TEXT),job_type_id(INT),location(INT),created_at(DATETIME2),updated_at(DATETIME2),parent_id(INT),quantity(INT),status(INT),created_by(INT),line_ski_markup(decimal(20,4)),line_ats_markup(decimal(20,4)),subline_ats_cost(decimal(20,4)),subline_is_ats_markup(BIT),subline_ski_cost(decimal(20,4)),subline_ski_markup(decimal(20,4)),subline_sell_price(decimal(20,4)),subline_adjusted_price(decimal(20,4)),subline_planned_hours(decimal(20,4)),is_deleted(BIT),quoted_value(decimal(20,4)),subline_unit_sell_cost(decimal(20,4)),subline_ski_extended_cost(decimal(20,4)),quote_line_option(INT),is_not_calculated(BIT),revision_parent_id(INT),ecn_parent_id(INT),conversion_price(decimal(20,4)),detail_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),scope_final_price(decimal(20,4)),is_direct_revision(INT),is_direct_ecn(INT),quoted_value_without_quantity(decimal(20,4)),is_selected_for_pdf(INT),shipping_markup(decimal(20,4)),is_modified(INT),is_update_line(INT),subline_without_development_markup(decimal(20,4))"
PROD_ARC_SOURCE,QUOTE_MANUFACTURING,"id(INT),quote_devlop_id(INT),quote_detailed_number(INT),drawing(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),shipping(NTEXT),raw_materials_data(NTEXT),outside_mfg(NTEXT),created_at(DATETIME2),updated_at(DATETIME2),created_by(INT),quote_line_sub_id(INT),in_house(NTEXT),is_ats_markup(BIT),quantity(INT),mfg_cost(NTEXT),shipping_cost(decimal(20,2)),raw_materials_cost(decimal(20,2)),outside_mfg_cost(decimal(20,2)),in_house_mfg(decimal(20,2)),in_house_mfg_hours(decimal(20,2)),tooling_fixuring_cost(decimal(20,2)),actual_cost(decimal(20,2)),adjusted_cost(decimal(20,2)),sell_price(decimal(20,2)),ats_cost(decimal(20,2)),markup(decimal(20,2)),outside_mfg_document(TEXT),quote_id(INT),quote_develop_id(INT),quote_line_id(INT),quote_sub_line_id(INT)"
PROD_ARC_SOURCE,QUOTE_PDF_DATA,"id(INT),quote_id(INT),edit_description(TEXT),edit_payment_term(NTEXT),edit_payment_cost(NTEXT),edit_warranty(TEXT),edit_installation(TEXT),edit_handling(TEXT),edit_insurance(TEXT),edit_freight(TEXT),edit_taxes(TEXT),edit_shippling(TEXT),edit_delivery(TEXT),edit_notes(TEXT),edit_customer_name(TEXT),edit_customer_email(TEXT),edit_ats_notes(TEXT),edit_ats_firce_majeure(TEXT),edit_ats_validity(TEXT),edit_ats_payment_term(NTEXT),edit_ats_payment_cost(NTEXT),edit_ats_warranty(TEXT),edit_ats_cancellation_charge(TEXT),edit_ats_price(TEXT),edit_ats_installation(TEXT),edit_ats_packing(TEXT),edit_ats_insurance(TEXT),edit_ats_freight(TEXT),edit_ats_taxes(TEXT),edit_ats_shippling(TEXT),edit_ats_delivery(TEXT),edit_ats_customer_name(TEXT),edit_ats_customer_email(TEXT),edit_employee_name(TEXT),edit_employee_email(TEXT),edit_deliverable(TEXT),edit_customer_id(INT),edit_ats_customer_id(INT)"
PROD_ARC_SOURCE,QUOTE_SCOPES,"id(INT),scope_id(INT),sub_function_id(INT),planned_hours(decimal(20,2)),manual_entry_travell_cost(INT),travel_cost(INT),actual_cost(decimal(20,2)),division_markup(decimal(20,2)),adjusted_cost(decimal(20,2)),sell_price(decimal(20,2)),created_at(DATETIME2),updated_at(DATETIME2),travel_cost_data(NTEXT),created_by(INT),quote_line_sub_id(INT),markup(decimal(20,2)),other_cost(decimal(20,2)),extra_scope_data(NTEXT),p_or_n(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),brand(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),supplier(INT),location_id(INT),hour_rate(INT),material_cost(INT),duties(INT),tarifes(INT),duties_cost(INT),tarifes_cost(INT),freight_cost(INT),description(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),quote_id(INT),quote_develop_id(INT),quote_line_id(INT),quote_sub_line_id(INT)"
PROD_ARC_SOURCE,QUOTE_TEMPLATE_CHANGES,"id(INT),quote_id(INT),division_id(INT),description(TEXT),payment_term(NTEXT),payment_cost(NTEXT),warranty(TEXT),installation(TEXT),handling(TEXT),insurance(TEXT),freight(TEXT),taxes(TEXT),shipping(TEXT),delivery(TEXT),notes(TEXT),customer_name(TEXT),customer_email(TEXT),customer_contact_email(TEXT),customer_contact_name(TEXT),cancellation_charge(TEXT),price(TEXT),force_majeure(TEXT),validity(TEXT),packing(TEXT),customer_id(INT),employee_name(TEXT),employee_email(TEXT),deliverable(TEXT),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,QUOTE_TRACKING,"id(INT),rfq_id(INT),rfq_line_id(INT),internal_quote_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),location_quote_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),employee_id(INT),location(INT),quote_option(INT),current_status_id(INT),project_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),is_tat(INT),reason_for_not_include_tat(TEXT),documents(TEXT),dynamic_data(NTEXT),is_active(BIT),quote_status(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_at(DATETIME2),updated_at(DATETIME2),probability(INT),validity(INT),quote_won_date(DATETIME),total_po_value(decimal(20,2)),pending_po_amount(decimal(20,2)),created_by(INT),quote_value(decimal(20,2)),description(TEXT),quote_submitted_date(DATETIME),conversion_price(decimal(20,2)),rev_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),ecn_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),notes(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),sent_mail_ATS_for_quote_devlop(INT),cancelled_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),ats_sell_price(decimal(20,2)),iko_sell_price(decimal(20,2))"
PROD_ARC_SOURCE,RAW_MATERIAL_CLASS,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),kg_density(decimal(20,2)),lib_density(decimal(20,2)),kg_mm3_density(decimal(20,10)),lib_in3_density(decimal(20,8)),rate(decimal(20,8)),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME)"
PROD_ARC_SOURCE,RAW_MATERIAL_TYPE,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),length(decimal(20,2)),width(decimal(20,2)),diameter(decimal(20,2)),thickness(decimal(20,2)),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME)"
PROD_ARC_SOURCE,REPORTS_MASTER,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),link(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),employee(NTEXT),roles(NTEXT)"
PROD_ARC_SOURCE,RFQ_LINES,"id(INT),rfq_id(INT),description(TEXT),jobTypeId(INT),location(INT),quoted_value(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),rfq_line_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),is_removed(BIT),created_by(INT)"
PROD_ARC_SOURCE,RFQ_TRACKING,"id(INT),internal_rfq_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),customer_rfq_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),customerId(INT),description(TEXT),jobTypeId(INT),currentStatusId(INT),note(TEXT),project_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),documents(TEXT),dynamic_data(NTEXT),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),location(INT),decision(INT),employee_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),rfq_status(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),no_decision_reason(TEXT),priority_status(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),employee_id(INT),created_by(INT),rfq_submmitted_date(DATETIME),customerContactId(INT),received_date(DATE),target_quote_date(DATE)"
PROD_ARC_SOURCE,RISK_SCENARIOS,"id(INT),name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_by(INT),modified_by(INT),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,SCALAR_FACTORS,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),time_in_mins(INT),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME)"
PROD_ARC_SOURCE,SOURCE_OF_RISK,"id(INT),name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_by(INT),modified_by(INT),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,SUPPLIER_TYPE_MASTER,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),slug(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS"")"
PROD_ARC_SOURCE,SURFACE_PROCESS,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),type(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),location_id(INT),price(decimal(20,2)),type_id(INT)"
PROD_ARC_SOURCE,SURFACE_TYPEMaSTER,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),slug(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),create_by(INT),location_id(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,TASK_MASTER,"id(INT),name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_by(INT),created_by_name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,USER_ROLES,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME),permissions(NTEXT)"
PROD_ARC_SOURCE,WO_ACTIVITIES,"id(INT),wo_id(INT),wo_activity_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),description(TEXT),is_hold(INT),hold_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),is_effect_delivery_date(INT),effect_days(INT),last_modified_date(DATETIME),last_modified_by(INT),notes(TEXT),created_by(INT),created_at(DATETIME2),updated_at(DATETIME2),estimated_delivery_date(DATE),completed_date(DATE)"
PROD_ARC_SOURCE,WO_LINES,"id(INT),wo_id(INT),line_id(INT),created_at(DATETIME2),updated_at(DATETIME2),subline_qty(INT),line_qty(INT),division_id(INT),subline_process_summary(NTEXT)"
PROD_ARC_SOURCE,WO_SUB_LINES_SUMMARY,"id(INT),wo_id(INT),wo_sub_line_id(INT),sub_line_id(INT),process_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),sequence_number(INT),assest_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),type(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_at(DATETIME2),updated_at(DATETIME2),cost(decimal(20,2)),hours(decimal(20,2))"
PROD_ARC_SOURCE,WORK_ORDER,"id(INT),project_id(INT),quote_id(INT),location_id(INT),work_order_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),quote_line_ids(NTEXT),po_id(INT),wo_status(INT),brief_scope_work(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),wo_value(decimal(20,2)),internal_manufacturing_hours(decimal(20,2)),outside_service(decimal(20,2)),raw_materials_cost(decimal(20,2)),notes(TEXT),created_by(INT),created_at(DATETIME2),updated_at(DATETIME2),quote_line_id(INT),status(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),documents(TEXT),is_api_Called(INT),project_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),api_json(NTEXT),delivery_date(DATE),release_date(DATE),wo_completion_date(DATE),quote_parent_line_id(NTEXT),scope_id(INT),in_house_mfg_cost(decimal(20,2)),outside_mfg_cost(decimal(20,2)),shipping_cost(decimal(20,2)),tooling_cost(decimal(20,2)),is_rework(decimal(20,2))"
